date,open,high,low,close,volume,Name
2017-08-08,68.75,69.26,68.63,69.25,1416303,PCG
2017-08-08,2044.0,2067.99,2035.11,2049.0,830572,PCLN
2017-08-08,39.12,39.2,38.44,38.72,1606529,PDCO
2017-08-08,45.61,45.84,45.57,45.77,1836871,PEG
2017-08-08,116.8,116.95,116.37,116.71,2412582,PEP
2017-08-08,33.33,33.46,33.215,33.28,16116151,PFE
2017-08-08,66.45,67.235,66.15,66.23,954627,PFG
2017-08-08,47.58,47.77,47.5,47.64,2378281,PGR
2017-08-08,91.4,91.94,91.23,91.58,5623352,PG
2017-08-08,25.46,25.585,25.28,25.31,3860065,PHM
2017-08-08,162.08,163.31,161.04,161.64,933671,PH
2017-08-08,109.84,110.46,109.27,109.62,995912,PKG
2017-08-08,65.74,66.105,63.85,64.03,894905,PKI
2017-08-08,60.53,61.17,60.35,60.78,1929739,PLD
2017-08-08,115.49,115.55,114.55,114.67,2813204,PM
2017-08-08,130.6,133.26,130.6,132.36,2802924,PNC
2017-08-08,62.71,62.92,62.25,62.3,438390,PNR
2017-08-08,88.38,88.81,88.06,88.73,720050,PNW
2017-08-08,104.26,104.43,103.19,103.4,1398246,PPG
2017-08-08,38.74,38.85,38.69,38.83,1863594,PPL
2017-08-08,67.19,67.81,66.24,66.57,1834288,PRGO
2017-08-08,111.46,113.17,111.32,111.48,1337115,PRU
2017-08-08,200.73,201.5,198.38,200.68,717934,PSA
2017-08-08,84.84,85.31,84.53,85.02,1847981,PSX
2017-08-08,125.84,126.11,124.09,124.3,845951,PVH
2017-08-08,36.13,37.04,36.06,36.54,2377013,PWR
2017-08-08,130.38,136.06,129.25,135.38,5585519,PXD
2017-08-08,130.09,130.09,128.26,128.58,1137172,PX
2017-08-08,59.61,59.88,59.25,59.48,6001864,PYPL
2017-08-08,52.55,53.33,52.21,52.29,10462154,QCOM
2017-08-08,68.41,69.8,67.555,69.16,1369058,QRVO
2017-08-08,117.83,121.47,117.8,119.8,2409645,RCL
2017-08-08,469.18,475.25,467.35,469.68,484815,REGN
2017-08-08,66.48,67.22,66.03,66.54,626369,REG
2017-08-08,265.33,266.25,264.8,266.19,289631,RE
2017-08-08,14.84,15.11,14.82,14.86,16854224,RF
2017-08-08,43.89,44.7677,43.76,44.24,1439797,RHI
2017-08-08,98.47,99.01,97.485,98.07,851519,RHT
2017-08-08,82.73,83.75,82.56,82.88,389997,RJF
2017-08-08,86.31,88.75,84.25,88.53,4960265,RL
2017-08-08,74.94,75.2651,74.115,74.4,907229,RMD
2017-08-08,165.64,166.21,164.99,165.6,434208,ROK
2017-08-08,235.89,237.2,235.52,235.98,263030,ROP
2017-08-08,55.52,56.6093,55.52,55.92,3086164,ROST
2017-08-08,17.27,17.545,16.89,16.97,8421421,RRC
2017-08-08,64.65,64.82,64.4,64.44,739689,RSG
2017-08-08,173.36,174.92,173.36,174.8,1428550,RTN
2017-08-08,138.83,139.54,137.76,138.22,493938,SBAC
2017-08-08,55.55,55.58,54.36,54.52,11095259,SBUX
2017-08-08,63.16,63.66,62.74,63.65,1128567,SCG
2017-08-08,42.73,43.25,42.56,42.72,5346705,SCHW
2017-08-08,44.4,45.89,43.8,45.0,4420812,SEE
2017-08-08,334.15,335.74,331.48,332.5,551363,SHW
2017-08-08,61.74,62.84,60.69,62.0,1181852,SIG
2017-08-08,122.16,122.56,121.65,121.79,594497,SJM
2017-08-08,66.25,66.63,65.26,65.49,8700109,SLB
2017-08-08,102.16,102.52,101.69,101.85,450429,SLG
2017-08-08,155.0,155.88,153.9,154.23,543564,SNA
2017-08-08,88.0,88.04,87.43,87.8,4040623,SNI
2017-08-08,77.13,77.55,76.75,76.82,871638,SNPS
2017-08-08,48.91,49.2,48.78,49.12,5256804,SO
2017-08-08,150.9,151.15,148.07,148.28,1996619,SPGI
2017-08-08,165.76,166.98,162.3,164.09,1387916,SPG
2017-08-08,78.5,78.9199,77.0,77.06,622094,SRCL
2017-08-08,117.03,117.58,116.815,117.49,869302,SRE
2017-08-08,57.9,59.0,57.89,58.05,2962029,STI
2017-08-08,94.12,95.44,94.04,94.35,1178636,STT
2017-08-08,33.39,33.62,32.97,32.99,5981481,STX
2017-08-08,195.04,196.315,193.84,194.68,878148,STZ
2017-08-08,104.5,105.98,104.25,104.73,1319283,SWKS
2017-08-08,142.03,142.5,140.64,140.96,636450,SWK
2017-08-08,30.34,31.41,30.34,30.72,8043165,SYF
2017-08-08,146.48,146.73,145.86,146.14,645075,SYK
2017-08-08,28.82,28.88,28.38,28.49,8182872,SYMC
2017-08-08,52.38,52.45,52.01,52.08,3290436,SYY
2017-08-08,89.93,91.14,89.91,90.66,1778206,TAP
2017-08-08,285.0,295.0,283.5011,285.7,788620,TDG
2017-08-08,80.74,81.37,80.45,80.68,906823,TEL
2017-08-08,58.0,59.21,58.0,58.74,8129344,TGT
2017-08-08,92.52,92.9,90.865,91.32,2097500,TIF
2017-08-08,70.805,72.09,70.7,71.5,5375569,TJX
2017-08-08,78.95,79.9,78.95,79.27,394277,TMK
2017-08-08,176.51,176.85,173.93,173.99,1648660,TMO
2017-08-08,48.0,48.6,47.605,47.83,3364073,TPR
2017-08-08,39.58,39.98,38.85,39.55,5473148,TRIP
2017-08-08,83.0,83.68,82.69,83.19,1337875,TROW
2017-08-08,128.75,129.16,128.45,128.55,1041892,TRV
